"Vague","S1. genre","S2. âge","S3. Zone géo","Région","Département","S7b. Taille commune","q5. Certitude/hypothèse impact effet de serre","q11. Solutions changement climatique","q18_i1. Causes GES activités industrielles","q18_i2. Causes GES transports","q18_i3. Causes GES bâtiments","q18_i4. Causes GES agriculture","q18_i5. Causes GES centrales de production d'électricité au gaz, charbon ou fuel","q18_i6. Causes GES traitement des déchets","q18_i7. Causes GES destruction des forêts","q18_i8. Causes GES centrales nucléaires","q18_i9. Causes GES activité volcanique","q18_i10. Causes GES bombes aérosols","s13. Nb membres foyer","s15. Diplôme","s17. Type habitat","s18. Statut locataire/propriétaire","s22. Mode de transport","s25. Sympathie mouvements écologistes","poids","age"
"Vague 03","Une femme","65 ans et +","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Corrèze","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Assez","Assez","Assez","Beaucoup","Assez","Assez","Beaucoup","1 personne","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.8392615","68"
"Vague 03","Un homme","50-64 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Pyrénées-Atlantiques","En zone rurale","No rep.","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Assez","Peu","Pas du tout","Peu","Assez","Beaucoup","Peu","No rep.","Peu","2 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1.0791762","50"
"Vague 03","Un homme","50-64 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Lot","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Pas du tout","Beaucoup","Peu","Beaucoup","Beaucoup","Pas du tout","Beaucoup","4 personnes et +","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.2736419","50"
"Vague 03","Un homme","25-34 ans","Ile de France","Ile de France","Hauts-de-Seine","Dans l'agglomération parisienne","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Assez","Beaucoup","Assez","Beaucoup","Assez","Beaucoup","Pas du tout","Beaucoup","Assez","2 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.540491","27"
"Vague 03","Un homme","15-17 ans","Sud Est","Auvergne - Rhône - Alpes","Drôme","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Assez","Assez","Peu","Peu","Assez","Assez","Peu","Assez","Peu","Peu","4 personnes et +","CAP - BEP","Autre","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","2.6393604","16"
"Vague 03","Une femme","65 ans et +","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Aveyron","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Pas du tout","Assez","Beaucoup","Assez","Assez","Assez","Assez","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Autre","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","0.9954546","75"
"Vague 03","Une femme","25-34 ans","Nord Ouest","Bretagne","Finistère","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Pas du tout","Assez","Assez","Pas du tout","Beaucoup","Beaucoup","Assez","Beaucoup","3 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.1799603","28"
"Vague 03","Un homme","35-49 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Gers","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Peu","Beaucoup","Beaucoup","Beaucoup","Pas du tout","Beaucoup","Beaucoup","Pas du tout","Peu","Assez","4 personnes et +","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.3596802","48"
"Vague 03","Un homme","25-34 ans","Nord Ouest","Bretagne","Ille-et-Vilaine","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Assez","Beaucoup","Beaucoup","Beaucoup","Peu","Assez","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.3796108","32"
"Vague 03","Un homme","35-49 ans","Ile de France","Ile de France","Paris","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Beaucoup","Beaucoup","No rep.","Beaucoup","Beaucoup","Pas du tout","Peu","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.4785309","43"
"Vague 03","Un homme","50-64 ans","Nord Ouest","Bretagne","Morbihan","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Peu","Peu","Pas du tout","Peu","Peu","Assez","Peu","Assez","Assez","Peu","2 personnes","BEPC, BREVET DES COLLEGES","Autre","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","2.434999","58"
"Vague 03","Un homme","18-24 ans","Nord Ouest","Pays de la Loire","Maine-et-Loire","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Peu","Peu","Pas du tout","Pas du tout","Peu","Peu","2 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","0.9903156","23"
"Vague 03","Un homme","25-34 ans","Nord Ouest","Bretagne","Ille-et-Vilaine","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Assez","Peu","Peu","Assez","Assez","Beaucoup","Beaucoup","Assez","Beaucoup","3 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.6235775","30"
"Vague 03","Un homme","25-34 ans","Ile de France","Ile de France","Hauts-de-Seine","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Assez","Peu","Peu","Assez","Assez","Beaucoup","Beaucoup","Assez","Beaucoup","3 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.6717529","30"
"Vague 03","Un homme","25-34 ans","Nord Ouest","Pays de la Loire","Sarthe","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Assez","Peu","Peu","Assez","Assez","Beaucoup","Beaucoup","Assez","Beaucoup","3 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.4997605","30"
"Vague 03","Une femme","65 ans et +","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Bas-Rhin","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Pas du tout","Beaucoup","1 personne","CAP - BEP","Une maison individuelle","Locataire","En vélo ou à pied","...assez de sympathie ?","0.8538401","66"
"Vague 03","Un homme","50-64 ans","Nord Est","Bourgogne - Franche - Comté","Jura","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Peu","No rep.","Beaucoup","Beaucoup","Beaucoup","Peu","Assez","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.4472716","52"
"Vague 03","Un homme","50-64 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Aveyron","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Beaucoup","Beaucoup","Assez","Assez","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Peu","Peu","3 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.5774656","50"
"Vague 03","Une femme","50-64 ans","Nord Ouest","Bretagne","Côtes-d'Armor","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Peu","Peu","Peu","Beaucoup","Peu","Assez","Beaucoup","Beaucoup","Beaucoup","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.9155795","64"
"Vague 03","Un homme","18-24 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Corrèze","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Assez","Beaucoup","Beaucoup","Assez","Peu","Assez","3 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Un appartement","Locataire","En vélo ou à pied","...assez de sympathie ?","1.1962899","22"
"Vague 03","Une femme","50-64 ans","Ile de France","Ile de France","Seine-et-Marne","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Peu","Beaucoup","Beaucoup","Peu","Beaucoup","Beaucoup","4 personnes et +","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...beaucoup de sympathie ?","1.4926451","50"
"Vague 03","Un homme","25-34 ans","Nord Ouest","Bretagne","Ille-et-Vilaine","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Peu","Beaucoup","Peu","Assez","Peu","Peu","Beaucoup","Peu","Peu","Beaucoup","4 personnes et +","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","0.890807","34"
"Vague 03","Une femme","35-49 ans","Ile de France","Ile de France","Hauts-de-Seine","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Peu","Peu","Beaucoup","Peu","Peu","Assez","3 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Locataire","En transports en commun urbains (dont métro)","...beaucoup de sympathie ?","0.6429777","42"
"Vague 03","Une femme","50-64 ans","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Haut-Rhin","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","No rep.","Beaucoup","Assez","No rep.","No rep.","Assez","2 personnes","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","...beaucoup de sympathie ?","0.9465403","61"
"Vague 03","Un homme","25-34 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Gironde","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Peu","Beaucoup","Assez","Peu","Peu","Peu","1 personne","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","0.8017973","28"
"Vague 03","Une femme","65 ans et +","Sud Est","Provence - Alpes - Côte d'Azur","Bouches-du-Rhône","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Pas du tout","Pas du tout","Pas du tout","Pas du tout","Assez","Beaucoup","Pas du tout","Assez","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...peu de sympathie ?","1.0621188","69"
"Vague 03","Une femme","65 ans et +","Sud Est","Provence - Alpes - Côte d'Azur","Alpes-Maritimes","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Beaucoup","Peu","Beaucoup","Beaucoup","Beaucoup","Pas du tout","Assez","1 personne","No rep.","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.8957882","92"
"Vague 03","Un homme","65 ans et +","Sud Est","Auvergne - Rhône - Alpes","Ain","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Peu","Assez","Peu","No rep.","Assez","Peu","No rep.","Pas du tout","Beaucoup","3 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","No rep.","...peu de sympathie ?","1.2075576","72"
"Vague 03","Une femme","15-17 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Gironde","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Assez","Peu","Assez","Beaucoup","Beaucoup","Peu","Beaucoup","4 personnes et +","BEPC, BREVET DES COLLEGES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En train","...beaucoup de sympathie ?","0.5937441","16"
"Vague 03","Une femme","65 ans et +","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Aube","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Peu","Peu","Peu","Peu","Assez","Beaucoup","Pas du tout","Beaucoup","Peu","Peu","1 personne","CAP - BEP","Un appartement","Locataire","En vélo ou à pied","...beaucoup de sympathie ?","0.9355066","67"
"Vague 03","Un homme","15-17 ans","Sud Est","Auvergne - Rhône - Alpes","Rhône","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Peu","Peu","Pas du tout","Peu","Peu","Pas du tout","Peu","Peu","Pas du tout","4 personnes et +","BEPC, BREVET DES COLLEGES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","...peu de sympathie ?","0.7315538","17"
"Vague 03","Une femme","18-24 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Gironde","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Assez","Beaucoup","Beaucoup","Assez","Assez","Assez","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.4418889","24"
"Vague 03","Une femme","50-64 ans","Sud Est","Auvergne - Rhône - Alpes","Rhône","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Assez","Assez","Peu","Assez","Assez","Peu","Assez","Peu","Peu","4 personnes et +","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.5170066","50"
"Vague 03","Un homme","25-34 ans","Sud Est","Auvergne - Rhône - Alpes","Puy-de-Dôme","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Pas du tout","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Pas du tout","2 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.0889084","27"
"Vague 03","Une femme","25-34 ans","Nord Ouest","Pays de la Loire","Maine-et-Loire","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Beaucoup","Assez","Beaucoup","Beaucoup","No rep.","Beaucoup","3 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.3406297","30"
"Vague 03","Une femme","50-64 ans","Sud Est","Provence - Alpes - Côte d'Azur","Bouches-du-Rhône","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Pas du tout","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Pas du tout","Peu","2 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...assez de sympathie ?","0.9930069","60"
"Vague 03","Une femme","65 ans et +","Nord Est","Nord - Pas de Calais - Picardie","Nord","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Beaucoup","No rep.","Peu","Assez","Assez","Beaucoup","Beaucoup","Beaucoup","Beaucoup","1 personne","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","...assez de sympathie ?","0.8597049","71"
"Vague 03","Une femme","25-34 ans","Sud Est","Provence - Alpes - Côte d'Azur","Bouches-du-Rhône","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Assez","Beaucoup","Pas du tout","Pas du tout","Pas du tout","Assez","Assez","Assez","Peu","Peu","4 personnes et +","No rep.","Une maison individuelle","Locataire","En transports en commun urbains (dont métro)","...assez de sympathie ?","1.6434765","32"
"Vague 03","Un homme","18-24 ans","Nord Ouest","Basse - Normandie - Haute - Normandie","Seine-Maritime","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","Beaucoup","Peu","Beaucoup","4 personnes et +","BEPC, BREVET DES COLLEGES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...assez de sympathie ?","1.031873","18"
"Vague 03","Une femme","35-49 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Haute-Garonne","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Assez","Beaucoup","Beaucoup","Assez","Pas du tout","Pas du tout","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.9857534","35"
"Vague 03","Un homme","35-49 ans","Nord Ouest","Aquitaine - Limousin - Poitou - Charente","Vienne","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Peu","Pas du tout","Beaucoup","4 personnes et +","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.455526","39"
"Vague 03","Un homme","50-64 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Haute-Garonne","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Beaucoup","Pas du tout","Beaucoup","Pas du tout","Pas du tout","Pas du tout","Beaucoup","3 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Locataire","En deux- roues motorisé","...peu de sympathie ?","1.5097989","53"
"Vague 03","Un homme","35-49 ans","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Aube","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Peu","Assez","No rep.","Peu","Peu","Assez","Peu","Peu","Peu","Peu","4 personnes et +","CAP - BEP","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1.0218039","36"
"Vague 03","Une femme","18-24 ans","Nord Est","Nord - Pas de Calais - Picardie","Somme","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Pas du tout","Assez","Pas du tout","Assez","Beaucoup","Pas du tout","Assez","1 personne","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Autre","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.9705307","22"
"Vague 03","Une femme","35-49 ans","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Bas-Rhin","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Assez","No rep.","Assez","Beaucoup","Assez","Peu","Assez","4 personnes et +","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.4284256","35"
"Vague 03","Un homme","35-49 ans","Nord Est","Nord - Pas de Calais - Picardie","Nord","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il n'y a rien à faire, le changement climatique est inévitable.","Assez","Beaucoup","Beaucoup","Beaucoup","Assez","Assez","Beaucoup","Beaucoup","Peu","Assez","3 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.4861632","40"
"Vague 03","Une femme","35-49 ans","Sud Est","Auvergne - Rhône - Alpes","Ain","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Assez","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","4 personnes et +","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.4243755","47"
"Vague 03","Une femme","18-24 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Gironde","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Peu","Peu","Beaucoup","Peu","Peu","Peu","1 personne","BEPC, BREVET DES COLLEGES","Un appartement","Locataire","En vélo ou à pied","...beaucoup de sympathie ?","0.3908517","20"
